Authors	Publication Date	Publisher	Description	Citations
Sean M McMahon, Niko Sunderhauf, Ben Upcroft, Michael J Milford	2017/6/26	None	Abstract: Trip hazards are a significant contributor to accidents on construction and manufacturing sites, where over a third of Australian workplace injuries occur [1]. Current safety inspections are labour intensive and limited by human fallibility, making automation of trip hazard detection appealing from both a safety and economic perspective. Trip hazards present an interesting challenge to modern learning techniques because they are defined as much by affordance as by object type; for example wires on a table are not a trip hazard ...	0
Timothy L Molloy, Justin M Kennedy, Jason J Ford	2017/10	None	Abstract: Quickly detecting changes in the statistical behavior of measurements is important in many applications of control engineering involving fault detection and process monitoring. In this letter, we pose and solve minimax robust Lorden and Bayesian quickest change detection problems for situations where the cost of detection delays compounds exponentially. We show that the detection rules that solve our robust quickest change detection problems are also the rules that solve the standard (non-robust) problems  ...	0
Sourav Garg, Adam Jacobson, Swagat Kumar, Michael Milford	2017/6/22	None	Abstract: The place recognition problem comprises two distinct subproblems; recognizing a specific location in the world (" specific" or" ordinary" place recognition) and recognizing the type of place (place categorization). Both are important competencies for mobile robots and have each received significant attention in the robotics and computer vision community, but usually as separate areas of investigation. In this paper, we leverage the powerful complementary nature of place recognition and place categorization processes to create a  ...	0
Dmitry Bratanov, Luis Mejias, Jason J Ford	2017/6/13	None	This paper presents a study of near collision course engagements between a Cessna 172R aircraft and a ScanEagle UAV carrying a custom built vision-based sense-and-avoid system. Vision-based systems are an attractive solution for the sense-and-avoid problem because of size, weight and power considerations. We present post flight test analysis that shows our detection system successfully detecting an approaching Cessna aircraft in all 15 flight test encounters at ranges greater than 1500 m, with no false alarms events. Moreover, this  ...	0
Kien Nguyen, Clinton Fookes, Raghavender Jillela, Sridha Sridharan, Arun Ross	2017/7/4	None	Abstract The term “iris” refers to the highly textured annular portion of the human eye that is externally visible. An iris recognition system exploits the richness of these textural patterns to distinguish individuals. Iris recognition systems are being used in a number of human recognition applications such as access control, national ID schemes, border control, etc. To capture the rich textural information of the iris pattern regardless of the eye color, traditional iris recognition systems utilize near-infrared (NIR) sensors to acquire images of the iris.  ...	0
Viorela Ila, Lukas Polok, Marek Solony, Pavel Svoboda	2017/2	None	The most common way to deal with the uncertainty present in noisy sensorial perception and action is to model the problem with a probabilistic framework. Maximum likelihood estimation is a well-known estimation method used in many robotic and computer vision applications. Under Gaussian assumption, the maximum likelihood estimation converts to a nonlinear least squares problem. Efficient solutions to nonlinear least squares exist and they are based on iteratively solving sparse linear systems until convergence. In general, the  ...	1
Basura Fernando, Efstratios Gavves, José Oramas, Amir Ghodrati, Tinne Tuytelaars	2017/4/1	None	Abstract: We propose a function-based temporal pooling method that captures the latent structure of the video sequence data-eg, how frame-level features evolve over time in a video. We show how the parameters of a function that has been fit to the video data can serve as a robust new video representation. As a specific example, we learn a pooling function via ranking machines. By learning to rank the frame-level features of a video in chronological order, we obtain a new representation that captures the video-wide  ...	30
Riku Shigematsu, David Feng, Shaodi You, Nick Barnes	2017/5/10	None	Abstract: Recently, deep Convolutional Neural Networks (CNN) have demonstrated strong performance on RGB salient object detection. Although, depth information can help improve detection results, the exploration of CNNs for RGB-D salient object detection remains limited. Here we propose a novel deep CNN architecture for RGB-D salient object detection that exploits high-level, mid-level, and low level features. Further, we present novel depth features that capture the ideas of background enclosure and depth contrast that are  ...	0
Chuong V Nguyen, Michael Milford, Robert Mahony	2017/1/16	None	Abstract: Current self-driving car systems operate well in sunny weather but struggle in adverse conditions. One of the most commonly encountered adverse conditions involves water on the road caused by rain, sleet, melting snow or flooding. While some advances have been made in using conventional RGB camera and LIDAR technology for detecting water hazards, other sources of information such as polarization offer a promising and potentially superior approach to this problem in terms of performance and cost. In this  ...	0
	None	None	None	0
Fangyi Zhang, Jürgen Leitner, Michael Milford, Peter I Corke	2017/5/15	None	Abstract: This paper introduces an end-to-end fine-tuning method to improve hand-eye coordination in modular deep visuo-motor policies (modular networks) where each module is trained independently. Benefiting from weighted losses, the fine-tuning method significantly improves the performance of the policies for a robotic planar reaching task.	0
	None	None	None	0
Peter Corke	2017/6/23	None	Robotic vision, the combination of robotics and computer vision, involves the application of computer algorithms to data acquired from sensors. The research community has developed a large body of such algorithms but for a newcomer to the field this can be quite daunting. For over 20 years the author has maintained two open-source MATLAB® Toolboxes, one for robotics and one for vision. They provide implementations of many important algorithms and allow users to work with real problems, not just trivial examples. This book makes the  ...	0
Anoop Cherian, Suvrit Sra, Richard Hartley	2017/5/24	None	Abstract: Representations that can compactly and effectively capture temporal evolution of semantic content are important to machine learning algorithms that operate on multi-variate time-series data. We investigate such representations motivated by the task of human action recognition. Here each data instance is encoded by a multivariate feature (such as via a deep CNN) where action dynamics are characterized by their variations in time. As these features are often non-linear, we propose a novel pooling method, kernelized rank  ...	0
